,log_return,EWA_log_return,^AXJO_log_return,FAIR.AX_log_return,MVS.AX_log_return,DBC_log_return,DBO_log_return,ERTH_log_return,PPG.AX_log_return,ORA.AX_log_return,AMC.AX_log_return,AUDUSD=X_log_return,AUDJPY=X_log_return,AUDNZD=X_log_return,AUDHKD=X_log_return,AUDCNY=X_log_return
log_return,1.0,0.15000420862460875,0.3186441052859645,0.2879382466122317,0.27232349333201683,0.12633282061207649,0.10074810362557285,0.139378041291152,0.07747521238871231,0.20930280791688918,0.24390069530011582,0.11723033749582489,0.12928051514865835,0.10378824347125175,0.1202047027423464,0.14109550490046946
EWA_log_return,0.15000420862460875,1.0,0.6438903996515891,0.46366256575250886,0.3006280067479076,0.456851800391436,0.42575264151921777,0.7566134015098789,0.09342771119568333,0.40805719536038787,0.2771373177926503,0.007610377468837464,0.00040734034049940955,0.030417456259193024,0.01142219506091084,0.06192808623524302
^AXJO_log_return,0.3186441052859645,0.6438903996515891,1.0,0.7955230979794202,0.5164999670168275,0.23902404408974032,0.2351044282706118,0.3863407955861805,0.16387291542413174,0.5300157124915396,0.46671357109458234,0.12035214496302443,0.17751350826240422,0.025488532027808108,0.1237295542110884,0.14602256355590637
FAIR.AX_log_return,0.2879382466122317,0.46366256575250886,0.7955230979794202,1.0,0.5194829944080948,0.1347819807512643,0.14659476070791877,0.29143215631192154,0.15114883865225517,0.4394504259424649,0.3974516332778768,0.047877065159299965,0.11073467253990961,0.04069777503236113,0.04828319518741802,0.05846193307330967
MVS.AX_log_return,0.27232349333201683,0.3006280067479076,0.5164999670168275,0.5194829944080948,1.0,0.19621197332958543,0.19244374149885932,0.19766752682902994,0.17324813418367987,0.2484487856267317,0.26149670148474197,0.14546288255035128,0.19783980787485456,0.04005829164301474,0.14738301874658052,0.14186720399166314
DBC_log_return,0.12633282061207649,0.456851800391436,0.23902404408974032,0.1347819807512643,0.19621197332958543,1.0,0.9149915290069928,0.3788010977207187,0.018100441693541917,0.16168469083101072,0.1031938623877218,0.11700619736779183,0.10744683821713948,0.09335348975600122,0.1154012821387526,0.1151568836374697
DBO_log_return,0.10074810362557285,0.42575264151921777,0.2351044282706118,0.14659476070791877,0.19244374149885932,0.9149915290069928,1.0,0.34883957222888046,0.02653574522071609,0.16137926027569843,0.11048591882050185,0.11106508097737805,0.10114243108298225,0.08549479499463741,0.10930194993465941,0.10902386527309689
ERTH_log_return,0.139378041291152,0.7566134015098789,0.3863407955861805,0.29143215631192154,0.19766752682902994,0.3788010977207187,0.34883957222888046,1.0,0.08267333067651261,0.24462559960473662,0.21711899981424126,0.08350954188125898,0.08398307589936618,0.04318860065428781,0.08646303809463618,0.1080787894773677
PPG.AX_log_return,0.07747521238871231,0.09342771119568333,0.16387291542413174,0.15114883865225517,0.17324813418367987,0.018100441693541917,0.02653574522071609,0.08267333067651261,1.0,0.08899724521399713,0.053925493283997,0.0761330498955459,0.11320752215185824,-0.00042668955831308864,0.07315629132051184,0.06495682992951965
ORA.AX_log_return,0.20930280791688918,0.40805719536038787,0.5300157124915396,0.4394504259424649,0.2484487856267317,0.16168469083101072,0.16137926027569843,0.24462559960473662,0.08899724521399713,1.0,0.385768403985764,0.019486848678970697,0.043931454447249364,-0.014436585793715071,0.021684338725975468,0.05059448657923836
AMC.AX_log_return,0.24390069530011582,0.2771373177926503,0.46671357109458234,0.3974516332778768,0.26149670148474197,0.1031938623877218,0.11048591882050185,0.21711899981424126,0.053925493283997,0.385768403985764,1.0,0.016402742699649045,0.09549781807078479,0.046109925739567084,0.018861973763025074,0.0472274293781593
AUDUSD=X_log_return,0.11723033749582489,0.007610377468837464,0.12035214496302443,0.047877065159299965,0.14546288255035128,0.11700619736779183,0.11106508097737805,0.08350954188125898,0.0761330498955459,0.019486848678970697,0.016402742699649045,1.0,0.7846227301006103,0.25524448853332793,0.9960616562280651,0.8345968513788645
AUDJPY=X_log_return,0.12928051514865835,0.00040734034049940955,0.17751350826240422,0.11073467253990961,0.19783980787485456,0.10744683821713948,0.10114243108298225,0.08398307589936618,0.11320752215185824,0.043931454447249364,0.09549781807078479,0.7846227301006103,1.0,0.28239059917964,0.7821274287009857,0.6934040467596242
AUDNZD=X_log_return,0.10378824347125175,0.030417456259193024,0.025488532027808108,0.04069777503236113,0.04005829164301474,0.09335348975600122,0.08549479499463741,0.04318860065428781,-0.00042668955831308864,-0.014436585793715071,0.046109925739567084,0.25524448853332793,0.28239059917964,1.0,0.25703835674955183,0.24535562422380242
AUDHKD=X_log_return,0.1202047027423464,0.01142219506091084,0.1237295542110884,0.04828319518741802,0.14738301874658052,0.1154012821387526,0.10930194993465941,0.08646303809463618,0.07315629132051184,0.021684338725975468,0.018861973763025074,0.9960616562280651,0.7821274287009857,0.25703835674955183,1.0,0.8383313380337896
AUDCNY=X_log_return,0.14109550490046946,0.06192808623524302,0.14602256355590637,0.05846193307330967,0.14186720399166314,0.1151568836374697,0.10902386527309689,0.1080787894773677,0.06495682992951965,0.05059448657923836,0.0472274293781593,0.8345968513788645,0.6934040467596242,0.24535562422380242,0.8383313380337896,1.0
